Step,Value
0,35249.926
1,35181.51
2,33166.945
3,28020.56
4,28020.56
5,25372.396
6,21788.59
7,21788.59
8,21788.59
9,18170.562
10,15806.195
11,12778.799
12,12778.799
13,12778.799
14,11809.947
15,11738.503
16,9126.915
17,7754.378
18,6330.4263
19,5602.8145
20,5602.8145
21,3972.249
22,3680.499
23,3035.399
24,2619.431
25,2555.2603
26,2124.8308
27,2124.8308
28,1962.351
29,1889.2097
30,1889.2097
31,1850.3085
32,1555.5062
33,1551.4445
34,1344.7357
35,1252.674
36,1017.153
37,1017.153
38,855.3201
39,797.35876
40,757.4483
41,757.4483
42,730.7227
43,701.36945
44,648.732
45,635.58093
46,582.74445
47,582.74445
48,575.78406
49,401.20236
50,401.20236
51,375.3074
52,354.9465
53,354.9465
54,341.59952
55,286.7968
56,286.7968
57,279.85895
58,260.8818
59,239.50935
60,192.34103
61,192.34103
62,192.34103
63,135.3235
64,135.3235
65,135.3235
66,135.3235
67,113.656265
68,113.656265
69,109.17274
70,98.83444
71,95.25027
72,76.91717
73,76.91717
74,65.33694
75,63.191254
76,56.250507
77,52.72855
78,45.227726
79,42.433437
80,37.31645
81,34.79283
82,33.04804
83,30.230843
84,28.794426
85,28.429361
86,28.412863
87,27.681208
88,24.554636
89,24.554636
90,23.981491
91,22.800854
92,22.800854
93,22.800854
94,20.932005
95,18.821424
96,18.468317
97,17.358372
98,17.358372
99,15.016326
100,15.016326
101,13.397751
102,11.9693
103,9.768486
104,7.6240406
105,6.918727
106,6.7863913
107,6.030722
108,4.9111614
109,3.8295434
110,3.7210374
111,3.6148243
112,3.4427745
113,3.3590984
114,3.3590984
115,3.1488698
116,2.5328367
117,2.2578251
118,2.1498525
119,2.1015084
120,1.8439602
121,1.6838652
122,1.4551626
123,1.2210456
124,1.1738049
125,1.0827183
126,0.9695325
127,0.9695325
128,0.8680219
129,0.7520558
130,0.7520558
131,0.72974825
132,0.6797494
133,0.65004694
134,0.6182383
135,0.57809114
136,0.5421182
137,0.52203935
138,0.4968962
139,0.4772077
140,0.466209
141,0.45384583
142,0.4497953
143,0.4425138
144,0.40262038
145,0.39775598
146,0.3652744
147,0.34452513
148,0.32421762
149,0.30384877
150,0.30220237
151,0.2896078
152,0.28370243
153,0.27770004
154,0.26237127
155,0.24416083
156,0.23631613
157,0.23631613
158,0.22263002
159,0.22263002
160,0.22263002
161,0.21341778
162,0.191302
163,0.191302
164,0.17337844
165,0.14025202
166,0.11611971
167,0.086353965
168,0.06438592
169,0.06438592
170,0.05332882
171,0.04946445
172,0.04946445
173,0.04946445
174,0.039918773
175,0.033482525
176,0.02433774
177,0.02433774
178,0.02334115
179,0.019142497
180,0.013434934
181,0.01155934
182,0.011187306
183,0.010060932
184,0.009809518
185,0.009714846
186,0.00789735
187,0.007864092
188,0.007864092
189,0.0076430156
190,0.0076430156
191,0.007432789
192,0.007432789
193,0.007432789
194,0.0061351997
195,0.0061148927
196,0.005240048
197,0.004684754
198,0.004411005
199,0.0041126185
200,0.003985597
201,0.0038072632
202,0.003427857
203,0.002732049
204,0.0027274513
205,0.002437319
206,0.0021142822
207,0.0019557462
208,0.0016510928
209,0.0016102752
210,0.0015236174
211,0.0014320477
212,0.0013172325
213,0.0013172325
214,0.0012766827
215,0.0010572862
216,0.0010542125
217,0.0010542125
218,8.9636055E-4
219,7.5021386E-4
220,6.855808E-4
221,6.0953654E-4
222,5.2800466E-4
223,4.999517E-4
224,4.7831956E-4
225,3.981657E-4
226,3.8994083E-4
227,3.7352124E-4
228,3.5642178E-4
229,3.224411E-4
230,2.7897494E-4
231,2.2417298E-4
232,2.1542539E-4
233,1.9745578E-4
234,1.7713607E-4
235,1.7182823E-4
236,1.5109427E-4
237,1.3285493E-4
238,1.2632064E-4
239,1.2285789E-4
240,1.0932075E-4
241,1.0404131E-4
242,8.662937E-5
